2022 07-04, 22:36, 0.83 ms , 948.22 Mbps , 56.68 Mbps ,
2022 07-04, 23:06, 0.83 ms , 949.06 Mbps , 275.75 Mbps ,
2022 07-04, 23:36, 0.92 ms , 949.20 Mbps , 207.33 Mbps ,
2022 07-04, 23:55, 0.84 ms , 947.83 Mbps , 160.88 Mbps ,
2022 07-05, 00:25, 0.92 ms , 945.72 Mbps , 10.99 Mbps ,
2022 07-05, 00:55, 0.70 ms , 947.12 Mbps , 0.44 Mbps ,
2022 07-05, 01:26, 0.93 ms , 950.69 Mbps , 9.39 Mbps ,
2022 07-05, 01:56, 0.88 ms , 948.14 Mbps , 79.56 Mbps ,
2022 07-05, 02:26, 0.80 ms , 948.04 Mbps , 0.73 Mbps ,
2022 07-05, 02:57, 0.91 ms , 949.54 Mbps , 0.55 Mbps ,
2022 07-05, 03:27, 0.84 ms , 948.69 Mbps , 97.61 Mbps ,
2022 07-05, 03:57, 0.80 ms , 949.92 Mbps , 1.57 Mbps ,
2022 07-05, 04:28, 0.93 ms , 945.89 Mbps , 1.96 Mbps ,
2022 07-05, 04:58, 0.90 ms , 946.23 Mbps , 187.46 Mbps ,
2022 07-05, 05:28, 0.81 ms , 948.86 Mbps , 10.34 Mbps ,
2022 07-05, 05:59, 0.67 ms , 950.44 Mbps , 102.89 Mbps ,
2022 07-05, 06:29, 0.85 ms , 945.82 Mbps , 249.94 Mbps ,
2022 07-05, 06:59, 0.87 ms , 947.83 Mbps , 3.70 Mbps ,
2022 07-05, 07:30,
2022 07-05, 08:00, 0.83 ms , 948.97 Mbps , 229.82 Mbps ,
2022 07-05, 08:30, 0.95 ms , 949.79 Mbps , 19.48 Mbps ,
2022 07-05, 09:00, 0.80 ms , 948.98 Mbps , 328.50 Mbps ,
2022 07-05, 09:31, 0.85 ms , 949.76 Mbps , 104.71 Mbps ,
2022 07-05, 10:01, 0.80 ms , 948.43 Mbps , 795.08 Mbps ,
2022 07-05, 10:31, 0.86 ms , 951.06 Mbps , 0.19 Mbps ,
2022 07-05, 11:02,
2022 07-05, 11:32, 0.69 ms , 947.55 Mbps , FAILED ,
2022 07-05, 12:02, 0.71 ms , 945.88 Mbps , FAILED ,
2022 07-05, 12:32, 0.82 ms , 944.48 Mbps , FAILED ,
2022 07-05, 13:03, 0.80 ms , 948.17 Mbps , 0.03 Mbps ,
2022 07-05, 13:33, 0.89 ms , 946.05 Mbps , FAILED ,
2022 07-05, 14:03, 0.70 ms , 937.57 Mbps , FAILED ,
2022 07-05, 14:34, 0.87 ms , 948.89 Mbps , FAILED ,
2022 07-05, 15:04, 0.87 ms , 950.39 Mbps , 0.17 Mbps ,
2022 07-05, 15:35, 0.93 ms , 947.32 Mbps , FAILED ,
2022 07-05, 16:05, 1.07 ms , 949.68 Mbps , 0.71 Mbps ,
2022 07-05, 16:35, 0.87 ms , 948.23 Mbps , 0.85 Mbps ,
2022 07-05, 17:06, 0.83 ms , 949.54 Mbps , FAILED ,
2022 07-05, 17:36, 0.86 ms , 944.65 Mbps , FAILED ,
2022 07-05, 18:06, 0.86 ms , 937.06 Mbps , FAILED ,
2022 07-05, 18:37, 0.91 ms , 947.93 Mbps , FAILED ,
2022 07-05, 19:07, 0.94 ms , 948.09 Mbps , FAILED ,
2022 07-05, 19:37, 0.95 ms , 947.70 Mbps , 824.89 Mbps ,
2022 07-05, 20:07, 0.87 ms , 946.92 Mbps , 935.30 Mbps ,
2022 07-05, 20:38, 0.83 ms , 949.00 Mbps , 1.72 Mbps ,
2022 07-05, 21:08, 0.86 ms , 949.32 Mbps , FAILED ,
2022 07-05, 21:38, 0.78 ms , 943.51 Mbps , FAILED ,
2022 07-05, 22:09, 0.84 ms , 945.28 Mbps , 0.61 Mbps ,
2022 07-05, 22:39, 0.73 ms , 947.96 Mbps , 4.33 Mbps ,
2022 07-05, 23:09, 0.88 ms , 948.35 Mbps , 0.17 Mbps ,
2022 07-05, 23:40, 0.84 ms , 950.52 Mbps , 13.72 Mbps ,
2022 07-05, 23:55, 0.88 ms , 948.41 Mbps , 138.03 Mbps ,
2022 07-06, 00:25, 0.68 ms , 948.83 Mbps , 6.41 Mbps ,
2022 07-06, 00:55, 0.83 ms , 945.49 Mbps , 34.94 Mbps ,
2022 07-06, 01:26, 0.54 ms , 950.27 Mbps , 875.34 Mbps ,
2022 07-06, 01:56, 0.96 ms , 949.38 Mbps , 4.46 Mbps ,
